Year,Stock/Flow ID,Layer 1,Layer 2,Layer 3,Layer 4,mean,sd,p2_5,p25,p50,p75,p97_5,deterministic
2040,ELV_loss_dismantling,Petrol,elvThermalManagement,calMagnesium,,34245.05177595536,18528.42430372292,6058.443918834818,19265.246253501467,31510.497585575074,47306.274722885835,73605.84547388325,17088.922960582004
2040,ELV_loss_dismantling,Petrol,elvThermalManagement,calOthers,,395152.07929197524,213798.6368810455,69908.1060663578,222300.7915113793,363598.18410925416,545864.9308695417,849334.4696144023,197188.29701042175
2040,ELV_loss_dismantling,Petrol,elvThermalManagement,calalloySteel,,790378.184553223,427637.32581332285,139829.3083950985,444643.22782845236,727264.4830264894,1091832.1215593324,1698828.0496337458,394413.5343675614
2040,ELV_loss_dismantling,Petrol,elvThermalManagement,calcastAluminiumAlSiCu,,225923.5122711887,122236.8335996232,39969.13008034142,127097.83961887402,207882.94713411422,312091.7967297178,485596.90439207,112740.06888484955
2040,ELV_loss_dismantling,Petrol,elvThermalManagement,calcastAluminiumAlSiMg,,339032.174129301,183434.73433706365,59979.684863119415,190729.4042126983,311959.5956293622,468340.63134689315,728711.1137369516,169183.41203742026
2040,ELV_loss_dismantling,Petrol,elvThermalManagement,calmildSteel,,790491.302361239,427698.52866262634,139849.32056796865,444706.8645384025,727368.568090799,1091988.3830284951,1699071.183501718,394469.9822748184
2040,ELV_loss_dismantling,Petrol,elvThermalManagement,calstainlessSteel,,1976968.1578890826,1069646.6486302025,349754.2007602657,1112183.4081677867,1819102.2391638607,2730993.0616359655,4249268.293953743,986544.1806518554
2040,ELV_loss_dismantling,Petrol,elvTransmission,calAl_6xxx,,901144.6845005979,486746.6124597807,155306.8531832724,507599.96718923544,825701.1694794009,1246720.1307988348,1930339.984245931,451001.9155637741
2040,ELV_loss_dismantling,Petrol,elvTransmission,calAl_7xxx,,225327.23268166013,121708.83220990925,38833.79000751398,126923.12109618401,206462.91626733827,311736.8407461682,482672.9539285281,112771.02924313545
2040,ELV_loss_dismantling,Petrol,elvTransmission,calHSS,,1181768.6381268424,638323.5580402154,203670.69965005104,665670.8209635505,1082831.384725063,1634959.1541073786,2531463.9186584367,591447.6650814057
2040,ELV_loss_dismantling,Petrol,elvTransmission,calMagnesium,,68329.10301233329,36907.457809730404,11776.108933674905,38488.65897306112,62608.61461778353,94532.28733420634,146367.61654479752,34197.12381080612
2040,ELV_loss_dismantling,Petrol,elvTransmission,calalloySteel,,1576628.9469417606,851604.422940392,271722.49317863997,888089.1331903602,1444634.1278108314,2181242.4583537085,3377293.2903531073,789066.0483650208
2040,ELV_loss_dismantling,Petrol,elvTransmission,calcastAluminiumAlSiCu,,675765.5476081758,365009.7445756947,116464.11779797498,380647.6093055157,619190.6944035115,934911.4813569678,1447555.8464252846,338204.9094726563
2040,ELV_loss_dismantling,Petrol,elvTransmission,calcastAluminiumAlSiMg,,450613.21506940003,243395.3833797436,77660.47077557749,253823.00658081687,412888.0357008083,623416.6123305068,965257.5456960341,225521.4136754036
2040,ELV_loss_dismantling,Petrol,elvTransmission,calmildSteel,,3940435.369911161,2128396.9166215374,679110.2782924536,2219582.3810320455,3610543.5111086015,5451533.127005577,8440797.666239103,1972096.080187225
2040,ELV_loss_dismantling,Petrol,elvTransmission,calstainlessSteel,,1181699.6516010242,638286.2954803569,203658.81023826057,665631.9619891327,1082768.173726845,1634863.7122854707,2531316.1427779915,591413.1389328003
2040,ELV_loss_dismantling,Petrol,elvTrim,calAl_6xxx,,197597.3214967672,107101.91229718263,35215.21679573038,111389.34271458106,180392.8805149367,273578.5339361896,426123.9460660815,99204.38366961479
2040,ELV_loss_dismantling,Petrol,elvTrim,calAl_7xxx,,49380.16877821618,26765.092085477034,8800.38927533281,27836.53392503383,45080.72689822313,68368.1037654501,106489.66401868383,24791.475775265688
2040,ELV_loss_dismantling,Petrol,elvTrim,calHSS,,863971.9287919513,468290.99222489796,153974.55060306407,487037.2965736723,788747.4573959534,1196191.182403204,1863178.735412024,433759.94195880886
2040,ELV_loss_dismantling,Petrol,elvTrim,calMagnesium,,14968.896050159321,8113.45710460977,2667.7128799427414,8438.249463909935,13665.581376117369,20724.818560421652,32280.82751744804,7515.183382153697
2040,ELV_loss_dismantling,Petrol,elvTrim,calalloySteel,,259230.42177060075,140508.35146412032,46199.28769049475,146133.085579924,236659.6983505452,358911.134029827,559037.3868861896,130147.48391003608
2040,ELV_loss_dismantling,Petrol,elvTrim,calcastAluminiumAlSiCu,,123517.49867732618,66949.08721585476,22012.92740731582,69629.14723336266,112763.05372776673,171013.12886045867,266368.81282550865,62012.365531468386
2040,ELV_loss_dismantling,Petrol,elvTrim,calcastAluminiumAlSiMg,,123517.43099438825,66949.05053027609,22012.915345060548,69629.10907921201,112762.99193785965,171013.03515170398,266368.66686542996,62012.331551027295
2040,ELV_loss_dismantling,Petrol,elvTrim,calmildSteel,,345728.5698890741,187392.1705537683,61614.73469831804,194893.72561270327,315626.6093395403,478670.02737512207,745572.9731201119,173574.16301507945
2040,ELV_loss_dismantling,Petrol,elvTrim,calstainlessSteel,,259123.73565043416,140450.5253387515,46180.27440214496,146072.9445986996,236562.30119767875,358763.4243740208,558807.3153944734,130093.92179331779
2040,ELV_loss_dismantling,Petrol,elvWheels,calAl_6xxx,,811413.08624884,437804.30878842843,143627.6833899279,459081.4072174544,744020.3915242201,1118541.2230800209,1740920.3728065346,405950.1310930252
2040,ELV_loss_dismantling,Petrol,elvWheels,calAl_7xxx,,202867.42674945891,109458.71473965397,35909.426447634316,114778.36052814659,186018.07739560504,279654.8188401377,435260.4637419666,101494.61461629868
2040,ELV_loss_dismantling,Petrol,elvWheels,calMagnesium,,61479.899266770684,33171.962911399525,10882.515523078948,34784.10583868837,56373.62706928825,84750.66878524658,131907.6694294165,30758.40603250712
2040,ELV_loss_dismantling,Petrol,elvWheels,calcastAluminiumAlSiCu,,405595.79717341776,218842.40054583372,71794.23862883543,229478.04574938107,371908.6479226423,559117.9471159526,870222.5763799966,202919.6593248367
2040,ELV_loss_dismantling,Petrol,elvWheels,calcastAluminiumAlSiMg,,608528.1955970428,328336.17126299307,107715.1656687138,344293.16596024774,557986.3007074915,838862.3300722216,1305622.4395390146,304446.779282856
2040,ELV_loss_dismantling,Petrol,elvWheels,calmildSteel,,7097658.066953972,3829597.201081422,1256351.669607904,4015713.9545149948,6508155.245921981,9784194.105023064,15228319.258564927,3550959.76582489
2040,ELV_shredded,BEV,elvBIW,,,1490797535.1066585,130841046.48696877,1235858376.6316957,1398820014.0663073,1492232767.7571547,1583091292.0190566,1741020472.9144497,1548450226.0994139
2040,ELV_shredded,BEV,elvBattery,,,94661450.74091545,48177737.46188189,23116620.94335546,55584921.492690735,87096670.87652117,128596884.61825752,197617323.45273125,25721760.19404297
2040,ELV_shredded,BEV,elvBrakes,,,143386304.80830306,12521346.57114068,119028161.4334576,134500226.4005897,143553224.1098042,152262060.1568805,167171120.60386947,148882166.2989502
